Account_id: 4 | Owner_id: 4718178677 | Balance: 2637369676
Account_id: 7 | Owner_id: 9593323824 | Balance: 480539420
Account_id: 8 | Owner_id: 9027444814 | Balance: 2361528943
Account_id: 9 | Owner_id: 8413370580 | Balance: 4146128388
Account_id: 11 | Owner_id: 6419150955 | Balance: 4874563614
Account_id: 22 | Owner_id: 8277203058 | Balance: 5699864237
Account_id: 28 | Owner_id: 9884765018 | Balance: 8910196922
Account_id: 32 | Owner_id: 5646474010 | Balance: 5062364229
Account_id: 37 | Owner_id: 9141494334 | Balance: 3415525123
Account_id: 40 | Owner_id: 8221481335 | Balance: 3765980731
Account_id: 43 | Owner_id: 8118302949 | Balance: 3886763874
Account_id: 47 | Owner_id: 7939490622 | Balance: 1425532321
Account_id: 48 | Owner_id: 9871126134 | Balance: 9835287892
Account_id: 51 | Owner_id: 8840443659 | Balance: 562372185
Account_id: 60 | Owner_id: 7899522467 | Balance: 5748114260
Account_id: 68 | Owner_id: 9188544000 | Balance: 859896354
Account_id: 79 | Owner_id: 9362203856 | Balance: 4755757419
Account_id: 81 | Owner_id: 5735932975 | Balance: 425930209
Account_id: 85 | Owner_id: 8941350507 | Balance: 440466844
Account_id: 86 | Owner_id: 9055118001 | Balance: 443741806
Account_id: 88 | Owner_id: 9481297072 | Balance: 3924410863
Account_id: 90 | Owner_id: 4734899348 | Balance: 4571077956
Account_id: 93 | Owner_id: 9078146913 | Balance: 7170589581
Account_id: 101 | Owner_id: 6412679948 | Balance: 4378872396
Account_id: 108 | Owner_id: 9865819418 | Balance: 3225683552
Account_id: 111 | Owner_id: 8311072771 | Balance: 2257575451
Account_id: 113 | Owner_id: 6561023680 | Balance: 3581154243
Account_id: 116 | Owner_id: 8005502426 | Balance: 2190645083
Account_id: 118 | Owner_id: 7038903742 | Balance: 4871873519
Account_id: 119 | Owner_id: 2885320821 | Balance: 2623324511
Account_id: 123 | Owner_id: 6679589500 | Balance: 5005624704
Account_id: 124 | Owner_id: 3775664925 | Balance: 3775486058
