Account_id: 1 | Owner_name: Randy Schmidt | Balance: 3603386089
Account_id: 2 | Owner_name: Peter Ortiz | Balance: 13354017343
Account_id: 3 | Owner_name: Susan Macias | Balance: 19043056800
Account_id: 4 | Owner_name: Shannon Boone | Balance: 2637369676
Account_id: 5 | Owner_name: James Hudson | Balance: 13796641721
Account_id: 6 | Owner_name: Jake Jones | Balance: 8305577906
Account_id: 7 | Owner_name: Robert Smith | Balance: 480539420
Account_id: 8 | Owner_name: Preston Wang | Balance: 2361528943
Account_id: 9 | Owner_name: Julie Brewer | Balance: 4146128388
Account_id: 10 | Owner_name: Karen Hernandez | Balance: 11121911987
Account_id: 11 | Owner_name: Anna Sullivan | Balance: 4874563614
Account_id: 12 | Owner_name: Lori Jordan | Balance: 17667438185
Account_id: 13 | Owner_name: Jennifer Cochran | Balance: 18891163879
Account_id: 14 | Owner_name: Kathy Raymond | Balance: 16163730875
Account_id: 15 | Owner_name: Matthew Combs | Balance: 11356905215
Account_id: 16 | Owner_name: Laura Martin | Balance: 7651191914
Account_id: 17 | Owner_name: Stephen Stokes | Balance: 5751642227
Account_id: 18 | Owner_name: Ashley Price | Balance: 18372647476
Account_id: 19 | Owner_name: Kevin Robertson | Balance: 5822111339
Account_id: 20 | Owner_name: Brian Castro | Balance: 17972492543
Account_id: 21 | Owner_name: Jacob Rhodes | Balance: 18078099182
Account_id: 22 | Owner_name: Michael Nicholson | Balance: 5699864237
Account_id: 23 | Owner_name: Dr. Roger | Balance: 9912864331
Account_id: 24 | Owner_name: Alyssa Dodson | Balance: 7973618860
Account_id: 25 | Owner_name: Candace Snyder | Balance: 17471106145
Account_id: 26 | Owner_name: Alexandra Bryant | Balance: 3530119051
Account_id: 27 | Owner_name: David Schwartz | Balance: 16478649497
Account_id: 28 | Owner_name: Ryan Williams | Balance: 8910196922
Account_id: 29 | Owner_name: Edward Reese | Balance: 14412508037
Account_id: 30 | Owner_name: Patricia Roman | Balance: 18826310109
Account_id: 31 | Owner_name: Rebecca Hernandez | Balance: 13341841694
Account_id: 32 | Owner_name: Joyce Fisher | Balance: 5062364229
Account_id: 33 | Owner_name: Zachary Dunn | Balance: 10757932946
Account_id: 34 | Owner_name: Kenneth Marshall | Balance: 16116228177
Account_id: 35 | Owner_name: Richard Jackson | Balance: 7566616918
Account_id: 36 | Owner_name: Kimberly Lucero | Balance: 12580526851
Account_id: 37 | Owner_name: Vicki Smith | Balance: 3415525123
Account_id: 38 | Owner_name: Ms. Erika | Balance: 19209304085
Account_id: 39 | Owner_name: Rodney House | Balance: 18234901592
Account_id: 40 | Owner_name: Bianca Williams | Balance: 3765980731
Account_id: 41 | Owner_name: Danielle Lawson | Balance: 12843387556
Account_id: 42 | Owner_name: Dawn Brown | Balance: 9044304328
Account_id: 43 | Owner_name: Bruce Vincent | Balance: 3886763874
Account_id: 44 | Owner_name: Katherine Price | Balance: 19383766821
Account_id: 45 | Owner_name: Charles Brown | Balance: 12163790431
Account_id: 46 | Owner_name: Debra Bell | Balance: 17460923771
Account_id: 47 | Owner_name: Cristina Romero | Balance: 1425532321
Account_id: 48 | Owner_name: Ethan Alexander | Balance: 9835287892
Account_id: 49 | Owner_name: Timothy Odonnell | Balance: 17321155557
Account_id: 50 | Owner_name: Melissa Weaver | Balance: 10723252505
Account_id: 51 | Owner_name: Kristin Clarke | Balance: 562372185
Account_id: 52 | Owner_name: Scott Watson | Balance: 4759911784
Account_id: 53 | Owner_name: George Robinson | Balance: 15383655746
Account_id: 54 | Owner_name: Jacqueline Wilson | Balance: 16076726585
Account_id: 55 | Owner_name: Daniel Goodwin | Balance: 12943634359
Account_id: 56 | Owner_name: Kelly Ho | Balance: 5729462202
Account_id: 57 | Owner_name: Shannon Fox | Balance: 15931679603
Account_id: 58 | Owner_name: Robert Weaver | Balance: 19753972512
Account_id: 59 | Owner_name: Sharon Martinez | Balance: 9888652958
Account_id: 60 | Owner_name: Christopher Adams | Balance: 5748114260
Account_id: 61 | Owner_name: Erica Riley | Balance: 18121288895
Account_id: 62 | Owner_name: Eric Wilson | Balance: 12331636312
Account_id: 63 | Owner_name: Anna Mitchell | Balance: 13022830404
Account_id: 64 | Owner_name: Katie Brown | Balance: 19084046247
Account_id: 65 | Owner_name: Tracey Harris | Balance: 13650706433
Account_id: 66 | Owner_name: Colleen Davis | Balance: 13842291765
Account_id: 67 | Owner_name: Ronald Gonzalez | Balance: 13495665853
Account_id: 68 | Owner_name: Brett Gordon | Balance: 859896354
Account_id: 69 | Owner_name: Carrie Hill | Balance: 8073020439
Account_id: 70 | Owner_name: Jennifer Brown | Balance: 11486623536
Account_id: 71 | Owner_name: Amanda Gonzalez | Balance: 8665096054
